"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"TSPAN6"	0	0.57971788092487	0	0	0	0	0	0
"TNMD"	0	0	0	0	0	0	0	0
"DPM1"	61.3360625189118	64.6435609811527	54.6199000540001	21.1425164885118	44.2849317670773	59.5611910506396	36.296944793239	72.3421504031265
"SCYL3"	11.4962863334627	3.12133724945838	3.71200205864391	10.6221277462987	8.35435439147782	2.5865611672877	4.94076613248642	17.7444594465143
"C1orf112"	0	1.46718913181396	0	2.96433046148684	0	2.36085661760308	0	1.17893363371474
"FGR"	14.6156078485658	89.0296396977068	143.754702459868	174.830069712329	3.24480140498852	67.6148624379599	88.1929607656698	0.963111653405378
"CFH"	30.6900545061715	11.0158076193588	4.19861521796621	0	3.65912879428929	6.5609614650229	2.81572350705819	6.98345347676706
"FUCA2"	8.79930838344114	54.5977079033836	38.0501239640972	9.17315112454647	3.24480140498852	19.8032295631088	16.0590695966955	7.77162812088211
"GCLC"	8.42148699109333	5.66844390568499	15.3776625858387	9.18162361842524	11.8285402714515	22.9447742462441	13.3433070598784	0.963111653405378
"NFYA"	14.1030473551907	1.95474784229058	5.85522874560548	3.73757318123969	2.10247868538109	11.5853041225059	9.92587531792881	8.05123575829588
"STPG1"	3.19724629782484	1.96881678979386	0	0	6.30232694076792	0	5.73773049021458	6.82387460009471
"NIPAL3"	9.80289983323254	1.67964808400094	0	9.981609421835	31.1105136853864	25.8387978196939	4.63927563640684	52.2162522862625
"LAS1L"	9.3843605720564	12.7159560595852	0	12.9705241249169	10.8210936297225	0	15.6209331056378	23.3564514077944
"ENPP4"	7.57937880485434	21.1976575616981	5.94472781838988	38.1334504286442	6.64783374158175	4.45307691300869	22.4259191079826	0
"SEMA3F"	0	0.179686458102551	0	0	0	0	0	0
"CFTR"	0	0	0	0	0	0	0	0
"ANKIB1"	14.4655306631207	7.93379057114273	1.38232979473546	18.2823987110429	11.1240428181015	6.06973814164266	21.5381462263917	9.18036333103142
