Gene.symbol	astrocyte_of_the_cerebral_cortex	Bergmann_glial_cell	brain_pericyte	endothelial_cell	neuron	oligodendrocyte	oligodendrocyte_precursor_cell
TSPAN6	0.21771264	0.57461464	0.04955905	0.13904245	0.21808359	0.08600002	1.37359453
TMEM176A	0.66688694	0.10809813	0.25798442	0.13523588	0.08123522	0.02119907	1.57496832
SLC7A2	0.453949857	0.239967217	0.256369995	0.008892884	0.010022004	0.002011071	0.128884375
CACNG3	0.0051249998	0	0.0017774301	0.0002943359	0.4404993093	0.0002436153	0
ETV1	0.218201901	0.261760636	0.193642357	0.008918516	0.219201991	1.284521039	0.714445368
LGALS14	0.004491808	0.002448792	0.100538932	1.326067404	0.002412195	0.014257771	0.005452604
PROM1	0.061826003	0	0.007210968	1.135271147	0.044771915	0.020840154	0.009772882
GAS7	0.13602213	0.63605509	0.01702892	0.01079826	1.00699741	1.53928478	0.16887667
MATK	0.008014806	0	0.001556616	0.007637385	0.465548774	0.005558835	0.156297868
MGST1	0.448110655	0.921434795	0.009598479	0.165193314	0.037787316	0.014386476	0.01760163
PGLYRP1	0.004991736	0.022055161	0.012308756	2.510927921	0.004281642	0.01038825	0.005211007
MAPK8IP2	0.021695851	0.029510128	0.001867016	0.004049059	0.493324147	0.029683965	0.186272832
ANLN	0.0242075536	0	0.0020799293	0.0003591812	0.0534970292	0.7703964114	0.007545848
GABRA3	0.0003615115	0	0.0008398098	0.0006591258	0.0764572449	0.0029633715	0.3024832283
CLDN11	0.102024086	0.039708099	0.001584501	0.008502547	0.019967439	3.064729075	0.185139413
STMN4	0.0343840349	0	0.0002928865	0.0012435341	0.3016369944	1.2627703674	0.2487632088
CNTN1	0.320331319	1.269295133	0.002227712	0.009927377	0.969496493	0.232537237	2.632009124
ATP1A2	3.43634854	3.40264978	1.83664686	0.12954529	0.08248285	0.17964633	1.80719764
PHLDB1	0.056868714	0.103449752	0.006672916	0.091096956	0.039857759	0.907185681	0.457987998
PLEKHB1	1.3793094	1.52854441	0.0154334	0.0592696	0.06595623	2.78923627	1.50435343
NRXN3	0.039006563	0.413162488	0.002006634	0.004663652	1.250952472	0.013202113	0.339101439
